reaction_id,reactants,products,rate_constant,reaction_family,reaction_phase,publication_string,publication_doi,underlying_data_publication_string,underlying_data_publication_doi,Notes
R155,PHEN+NO3,0.15200*ASOATJ+0.33900*CHO+0.85000*ADDC+0.42400*ADCN+0.42400*HNO3,3.7800E-12,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R156,CSL+NO3,0.20000*ASOATJ+0.32000*CHO+0.08000*ADDC+0.40000*ADCN+0.40000*HNO3,1.0600E-12,CRACMM1,gas,Pye et al. 2023,https://doi.org/10.5194/acp-23-5043-2023,NA,NA,NA
R158,MCT+NO3,MCTO+HNO3,2.0100E-10,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R159,MPAN+NO3,MACP+NO2+HNO3,2.2000E-14*exp(-5.0000E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,CRACMM3 update: HNO3 added as product.
RBAL2,BALP+NO2,PAN,ko=9.7000E-29*exp(0.0000E+00/T)*(T/300)^-5.6000E+00;kinf=9.3000E-12*exp(0.0000E+00/T)*(T/300)^-1.5000E+00;n=3.0000E-01;F=1.4200E+00,CRACMM3,gas,NA,NA,Jenkin et al. 2003,https://doi.org/10.5194/acp-3-181-2003,Previously omitted benzaldehyde peroxy radical oxidation by NO2 leading to PAN following MCM.
TRP11,PINALP,VHOM,2.9000E-02,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Vereecken and Noziere (2020) ,https://doi.org/10.5194/acp-20-7429-2020,Unimolecular autoxidation rates of PINALP and LIMALP are calculated based on Vereecken and Noziere (2020) and assuming that the first competitive step rather than the first step best reflects the rate of HOM formation in a reduced mechanism. CRACMM3 update: VHOM name update.
TRP12,LIMALP,VHOM,2.4000E-02,CRACMM2,gas,Skipper et al. 2024,https://doi.org/10.5194/acp-24-12903-2024,Vereecken and Noziere (2020) ,https://doi.org/10.5194/acp-20-7429-2020,Unimolecular autoxidation rates of PINALP and LIMALP are calculated based on Vereecken and Noziere (2020) and assuming that the first competitive step rather than the first step best reflects the rate of HOM formation in a reduced mechanism. CRACMM3 update: VHOM name update.
R166,ACO3+NO2,PAN,ko=9.7000E-29*exp(0.0000E+00/T)*(T/300)^-5.6000E+00;kinf=9.3000E-12*exp(0.0000E+00/T)*(T/300)^-1.5000E+00;n=1.0000E+00;F=6.0000E-01,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R167,PAN,ACO3+NO2,1.1111E+28*exp(-1.4000E+04/T)\*R166,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R168,RCO3+NO2,PPN,ko=9.7000E-29*exp(0.0000E+00/T)*(T/300)^-5.6000E+00;kinf=9.3000E-12*exp(0.0000E+00/T)*(T/300)^-1.5000E+00;n=1.0000E+00;F=6.0000E-01,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R169,PPN,RCO3+NO2,1.1111E+28*exp(-1.4000E+04/T)\*R168,RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R170,MACP+NO2,MPAN,2.8000E-12*exp(1.8100E+02/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
R171,MPAN,MACP+NO2,1.6000E+16*exp(-1.3486E+04/T),RACM2,gas,Goliff et al. 2013,https://doi.org/10.1016/j.atmosenv.2012.11.038,NA,NA,NA
